,Assignments,Essays,Homework Help,Lab Reports,Lesson Plans,Notes,Rubrics,Syllabi,Test Prep,canonical_course_id,course_id,course_info,course_name,course_num,dept_acro,dept_id,dept_name,prof_id,prof_name,school_name,term,title,total_doc_count,type,url,verified,year
0,,,56,,,,,,1,6178399,6178399,BUSINESS 602 Micro and Macro Economics,Micro and Macro Economics,602,BUSINESS,288896,,1387087,Dr. Amitiva Chatterjee,"California State University, Monterey Bay",2,"California State University, Monterey Bay - BUSINESS 602 - Micro and Macro Economics",57,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6178399-BUSINESS602/,0,2017
1,,8,10,5,7,8,,,10,1598626,1598626,BUSINESS 4511 ,,4511,BUSINESS,288896,,373879,hendrix,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 4511",48,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1598626-BUSINESS4511/,0,2013
2,,,,,,42,,,1,1239762,1239762,PSYCH PSYCH 3 BioPsych,BioPsych,PSYCH 3,PSYCH,161550,,232048,COHEN,"California State University, Monterey Bay",2,"California State University, Monterey Bay - PSYCH PSYCH 3 - BioPsych",43,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1239762-PSYCHPSYCH-3/,0,2010
3,,,,4,,10,,,1,6547553,6547553,BIO 327 biology,biology,327,BIO,161557,,1271316,Steven R. James,"California State University, Monterey Bay",1,"California State University, Monterey Bay - BIO 327 - biology",29,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6547553-BIO327/,0,2007
4,,18,14,,,3,,,5,5171328,5171328,BUSINESS 421 Marketing Research,Marketing Research,421,BUSINESS,288896,,1134711,Murray,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 421 - Marketing Research",40,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5171328-BUSINESS421/,0,2016
5,,18,11,,,8,,,3,929721,929721,BUSINESS & ACCOUNTING FINANCIAL & MANAGERIAL ACCOUNTING,FINANCIAL & MANAGERIAL ACCOUNTING,ACCOUNTING,BUSINESS &,234661,,205376,BALZAR,"California State University, Monterey Bay",4,"California State University, Monterey Bay - BUSINESS & ACCOUNTING - FINANCIAL & MANAGERIAL ACCOUNTING",41,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/929721-BUSINESS-ACCOUNTING/,0,2009
6,,,14,,,1,,,4,6021231,6021231,BUSINESS BUS 601 MBA Program Orientation,MBA Program Orientation,BUS 601,BUSINESS,288896,,1329395,Dr. M.,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS BUS 601 - MBA Program Orientation",29,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6021231-BUSINESSBUS-601/,0,2016
7,,1,,,,19,,,1,1432273,1432273,BUSINESS 301 BUAD301,BUAD301,301,BUSINESS,288896,,279793,Franklin,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 301 - BUAD301",21,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1432273-BUSINESS301/,0,2011
8,,11,,,,,,,1,1713704,1713704,BUSINESS MGMT4670 MULTINATIONAL BUSINESS,MULTINATIONAL BUSINESS,MGMT4670,BUSINESS,288896,,425198,MADELINEDAMKAR,"California State University, Monterey Bay",1,"California State University, Monterey Bay - BUSINESS MGMT4670 - MULTINATIONAL BUSINESS",18,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1713704-BUSINESSMGMT4670/,0,2013
9,,3,9,,,5,,,5,5817285,5817285,ECONOMICS MGMT4670 MULTINATIONAL BUSINESS,MULTINATIONAL BUSINESS,MGMT4670,ECONOMICS,197951,,425198,MADELINEDAMKAR,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ECONOMICS MGMT4670 - MULTINATIONAL BUSINESS",23,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5817285-ECONOMICSMGMT4670/,0,2013
10,,,4,,,1,,,6,6154496,6154496,BUS 632 Organization and Leadership,Organization and Leadership,632,BUS,361473,,193997,,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUS 632 - Organization and Leadership",22,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6154496-BUS632/,0,2016
11,,,7,,,,,,5,8280833,8280833,BUSINESS 691 Strategic Management,Strategic Management,691,BUSINESS,288896,,193997,,"California State University, Monterey Bay",3,"California State University, Monterey Bay - BUSINESS 691 - Strategic Management",20,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/8280833-BUSINESS691/,0,2018
12,,,,,,14,,,,1303413,1303413,BUSINESS 168 BUS 168,BUS 168,168,BUSINESS,288896,,235582,Weaver,"California State University, Monterey Bay",2,"California State University, Monterey Bay - BUSINESS 168 - BUS 168",14,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/1303413-BUSINESS168/,0,2010
13,,6,6,,,,,,4,5788771,5788771,BUS 307 Finance,Finance,307,BUS,361473,,193997,,"California State University, Monterey Bay",1,"California State University, Monterey Bay - BUS 307 - Finance",19,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5788771-BUS307/,0,2016
14,,,1,,,7,,,,6361999,6361999,ASL 101 Beginning American Sign Language,Beginning American Sign Language,101,ASL,826675,,193997,,"California State University, Monterey Bay",1,"California State University, Monterey Bay - ASL 101 - Beginning American Sign Language",22,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/6361999-ASL101/,0,2016
15,,,10,,,2,,,2,5415946,5415946,BUS 308 Computer Information Systems,Computer Information Systems,308,BUS,361473,,193997,,"California State University, Monterey Bay",4,"California State University, Monterey Bay - BUS 308 - Computer Information Systems",18,course,/sitemap/schools/3348-California-State-University-Monterey-Bay/courses/5415946-BUS308/,0,2016
